STATION,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-06-2021,8.5,,0,,74,59,270,260,21.9,23.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-06-2021,13.42,,0,,72,58,280,280,27.1,33.1,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-06-2021,8.5,,0,,76,55,270,270,19.9,23,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-06-2021,6.93,,0,,85,55,300,300,16.1,19.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-06-2021,7.16,,0,,91,58,300,310,17,19,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-06-2021,8.05,,0,,84,59,300,310,18.1,21.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-06-2021,10.96,,0,,76,56,310,300,21.9,25.9,1,,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-06-2021,10.51,,0,,69,54,310,310,18.1,21.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-06-2021,10.29,,0,,72,58,310,300,17,21.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-06-2021,11.63,,0,,74,62,300,230,19.9,21.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-06-2021,11.41,,0,,72,60,280,250,19.9,23,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-06-2021,12.53,,0,,70,59,270,270,21.9,23.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-06-2021,11.86,,0,,69,57,280,270,21.9,27.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-06-2021,12.3,,0,,71,57,280,280,23,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-06-2021,12.75,,0,,67,57,280,270,21.9,25.1,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-06-2021,12.75,,0,,68,57,280,280,21.9,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-06-2021,10.51,,0,,70,58,280,250,18.1,23.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-06-2021,12.08,,0,,69,58,280,280,19.9,23,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-07-2021,10.96,,0,,72,59,280,250,21,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-07-2021,11.41,,0,,72,59,290,290,21.9,25.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-07-2021,10.51,,0,,70,59,280,250,18.1,23,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-07-2021,10.07,,0,,71,59,300,300,19.9,21.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-07-2021,10.96,,0,,70,59,280,300,23,25.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-07-2021,14.32,,0,,67,57,280,280,23,33.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-07-2021,10.96,,0,,65,56,270,260,21,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-07-2021,8.72,,0,,79,57,300,290,17,19.9,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-07-2021,12.08,,0,,77,56,290,290,21.9,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-07-2021,11.18,,0,,73,56,300,,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-07-2021,12.53,,0,,65,55,290,290,21.9,25.9,1,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-07-2021,12.3,,0,,64,55,280,290,23,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-07-2021,13.2,,0,,67,55,280,240,19.9,25.1,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-07-2021,9.4,,0,,70,57,310,310,18.1,23,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-07-2021,13.87,,0,,65,56,280,290,21.9,25.9,,,,,
